Row No,Timestamp,Open,High,Low,Close,Volume_.BTC.,Volume_.Currency.,Weighted_Price
2751545,1496185860,2121.002,2124,2118.348,2123.5,64.58221696,137102.4008,2122.91258
2751546,1496185920,2122.071,2123.4,2119.6,2121.99,4.18031181,8869.640371,2121.765259
2751547,1496185980,2121.121,2121.96,2118.454,2121,11.69588817,24800.3378,2120.432193
2751548,1496186040,2119.011,2120.999,2099.001,2120,50.53745913,106387.7561,2105.126731
2751549,1496186100,2120,2120,2109.845,2119.998,9.25746003,19621.79057,2119.565249
2751550,1496186160,2119.691,2119.998,2107.943,2118.99,3.2319322,6847.886495,2118.82121
2751551,1496186220,2118.99,2118.99,2110.002,2118.99,3.92980441,8322.30583,2117.740468
2751552,1496186280,2118.99,2124.998,2117.002,2124.998,7.75472463,16448.68229,2121.117521
2751553,1496186340,2124.998,2130.028,2124.55,2130.028,93.30633535,198670.3575,2129.226882
2751554,1496186400,2128.887,2130.028,2125.295,2130.028,4.14860237,8827.919907,2127.926256
2751555,1496186460,2130.027,2130.027,2126,2126,0.13149913,279.6627945,2126.727336
2751556,1496186520,2126.001,2130.028,2120.856,2130.028,23.47779667,49913.79174,2125.999831
2751557,1496186580,2130,2130,2120.873,2125,0.61792946,1313.55661,2125.738769
2751558,1496186640,2120.906,2125,2120.9,2121.608,5.9321166,12582.78232,2121.128624
2751559,1496186700,2121.608,2121.608,2110.41,2110.412,9.98746399,21131.06683,2115.759001
2751560,1496186760,2118.8,2118.999,2110,2118.998,6.46491719,13649.5139,2111.320764
2751561,1496186820,2118.999,2118.999,2112.601,2118.999,0.04613036,97.64780771,2116.779659
2751562,1496186880,2112.601,2118.998,2112.527,2118.998,2.21625312,4682.621913,2112.855193
2751563,1496186940,2118.998,2118.999,2112.528,2114,4.27865976,9040.100128,2112.83454
2751564,1496187000,2114.001,2118.999,2112.528,2112.528,8.74697894,18496.49431,2114.615164
2751565,1496187060,2118.996,2121.991,2110,2110.002,27.82693132,58786.8062,2112.586743
2751566,1496187120,2110.002,2119.999,2107,2109.194,9.79368098,20659.12295,2109.433929
2751567,1496187180,2107.003,2118.998,2107.003,2108.551,3.17598699,6699.701907,2109.486572
2751568,1496187240,2108.551,2118.989,2107.596,2117.989,2.20795353,4673.166112,2116.514704
2751569,1496187300,2117.986,2117.989,2110,2110,0.49010936,1036.645323,2115.130637
2751570,1496187360,2110,2115,2107.006,2107.006,20.58037581,43524.55983,2114.857388
2751571,1496187420,2114.999,2117.494,2113.65,2114.999,4.95546915,10482.32791,2115.304847
2751572,1496187480,2114.999,2115.5,2106.764,2115.5,9.92406292,20935.68614,2109.588211
2751573,1496187540,2115.499,2115.5,2104.499,2105.781,7.57507081,15997.28678,2111.8333
2751574,1496187600,2105.781,2117.499,2104.507,2104.507,3.42187263,7215.409505,2108.614284
2751575,1496187660,2114.998,2114.998,2103,2103,6.6893498,14080.80359,2104.958481
2751576,1496187720,2103,2105,2103,2104.999,2.28658452,4813.234502,2104.988668
2751577,1496187780,2104.999,2104.999,2100.003,2102.003,6.10851356,12838.2788,2101.702595
2751578,1496187840,2102.004,2105,2102.003,2104.999,0.78955415,1660.16441,2102.660609
2751579,1496187900,2104.999,2104.999,2102.003,2104.999,0.79947802,1681.423973,2103.152221
2751580,1496187960,2102.998,2105.69,2102.777,2102.777,0.79695177,1677.517273,2104.91693
2751581,1496188020,2102.778,2102.778,2102.778,2102.778,0.24834955,522.2239701,2102.778
2751582,1496188080,2102.777,2104.778,2102.777,2104.777,2.49704393,5253.53036,2103.899854
2751583,1496188140,2104.777,2105.478,2103.012,2103.012,0.58754506,1236.809959,2105.046988
2751584,1496188200,2111.999,2111.999,2110,2110,0.55828244,1177.992505,2110.029656
2751585,1496188260,2112,2112,2110.003,2112,0.11489719,242.5860045,2111.331047
2751586,1496188320,2112.001,2116.398,2112,2116.398,7.3997966,15636.36742,2113.080705
2751587,1496188380,2117,2125,2117,2117,9.61270495,20395.71111,2121.745255
2751588,1496188440,2121.831,2125,2120,2125,21.07752041,44781.21177,2124.595821
2751589,1496188500,2125,2130,2125,2130,1.99460166,4241.184114,2126.331387
2751590,1496188560,2130,2130,2129.999,2129.999,2.35330472,5012.53827,2129.999667
2751591,1496188620,2130,2134.8,2130,2134.8,12.03238662,25648.89777,2131.655055
2751592,1496188680,2133.2,2134.8,2133.2,2134.8,1.40799439,3005.475614,2134.579254
2751593,1496188740,2134.8,2143.79,2134.8,2134.801,3.19062001,6824.263713,2138.851913
2751594,1496188800,2139.999,2140,2134.35,2139.999,6.73707917,14413.32465,2139.402594
